PMID,Toxicant,Year,Group,Paper_Title,New_Category
40854358,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Determining the accumulation potential of nanoplastics in crops: An investigation of <sup>14</sup>C-labelled polystyrene nanoplastic into radishes.,environmental_fate
39764973,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Solvent-free upcycling of agricultural plastic waste using in situ self-assembly metal nanoparticles co-doped microporous carbocatalyst for advanced transportation fuels.,environmental_fate
39589486,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Revealing transport, uptake and damage of polystyrene microplastics using a gut-liver-on-a-chip.",environmental_fate
39342754,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Microplastics' vector effect on Co-bioaccumulation of it and polychlorinated biphenyls in Crassostrea hongkongensis.,environmental_fate
37989961,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Microplastic accumulation in bivalves collected from different coastal areas of Vietnam and an assessment of potential risks.,environmental_fate
36785877,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Heteroaggregation of virions and microplastics reduces the number of active bacteriophages in aqueous environments.,environmental_fate
36602726,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Effects of microplastic combined with Cr(III) on apoptosis and energy pathway of coral endosymbiont.,environmental_fate
